pixel,x,y,chlorophyll,LAI,water_content,biomass,soluble_solids
0,0,0,31.122757364155547,1.8126786795291299,58.61492542813664,30.27865490280464,6.860164414726301
1,1,0,17.56110146076028,1.7239180101655234,59.442889265177705,28.321381180310645,9.313168851396947
2,2,0,26.70934835246453,1.972915735473731,58.198429341076505,33.430676308719526,7.202194784207657
3,3,0,23.977530450524167,2.3460987476679174,58.78959743703106,31.621352506865957,7.731585975828853
4,4,0,24.547483860176172,1.652226764681862,63.97757122717649,37.89157031654959,9.81138244377687
5,5,0,25.48200983792049,2.331444161959684,60.85617711914088,37.46165690669764,9.68075666256542
6,6,0,20.290961050118362,2.063926424188901,62.37295524689662,35.1532095798553,8.246691798225502
7,7,0,25.875959600134763,2.4989740949165338,63.30309660280875,32.36156970644037,7.95537564717878
8,8,0,24.195643903563607,2.1761280748785983,61.462670488918,34.787173751538006,8.588802044424318
9,9,0,36.978466341834654,2.269322673115453,61.837932292875465,35.67962886878692,8.790528550162243
10,10,0,27.90363892996892,2.311397967717503,64.70381220632288,34.15453679716653,10.768196258494699
11,11,0,26.38379223030436,2.2556412280568128,60.70607130623056,41.57187772706219,9.182078934690516
12,12,0,26.81178888450802,2.1623868128119357,60.526931484908914,37.216164578407515,7.995067892497061
13,13,0,25.86400558428489,2.260670024336659,61.6473748979337,30.128399031102898,7.372809709680972
14,14,0,24.913678529320457,2.183522936873386,66.2270372443988,36.34479415038003,9.192792522495997
15,15,0,27.11616915630374,2.4804630323989207,63.93830425307413,39.316139449452926,9.952889395343286
16,16,0,29.942269907557186,2.414371167309118,63.5846925114919,39.11429759446503,8.092332439493621
17,17,0,27.987016852990266,2.0079426970625898,60.99077845348245,38.1363726332721,9.748983996889812
18,18,0,31.78054162812916,2.5524271242538585,65.20705988321582,31.419167473872516,9.911994376172277
19,19,0,28.51075163408346,2.8518777643526594,62.87208460618986,32.18486280018798,8.609371310473401
20,20,0,29.384093703869187,2.2746809476431697,63.72911618240428,35.50746960728706,8.21790261391941
21,21,0,34.14815794581824,2.2508655517561107,65.91083716780989,27.0723896085661,9.125714194734451
22,22,0,31.343573723854647,2.5879860930481833,66.0648143308562,37.68380291218028,9.92750252807814
23,23,0,28.38827114282526,2.8793851103078656,61.48424054824654,34.415276111116015,9.25459351810157
24,24,0,29.549235161219034,2.689517623848207,62.139550666801995,37.95599463144241,10.732171372861572
25,25,0,31.911171925589002,2.789230038512828,61.95940945927588,36.39582984406426,7.445091064222712
26,26,0,36.28470901169513,3.059388331526733,59.04198444264688,46.65174584971894,9.083395350415202
27,27,0,29.858389519186996,2.1388062808846158,60.83352995743146,40.1108517728141,7.665884320679973
28,28,0,30.122289604633263,2.9107300874051014,64.59620874250176,39.85850847422648,9.865862407276502
29,29,0,34.043482532595156,2.752885313782465,67.63976268365558,43.956343263756004,10.742892636384612
30,30,0,28.55854939768808,3.2806327038148386,67.22673473172146,40.326383242008845,10.95831499248845
31,31,0,30.52191698206149,2.510047799785508,63.910701266381864,39.630499764209326,8.841644501464131
32,32,0,34.22155261907854,2.0529338500257523,66.93663567954157,39.03374109609076,10.553822957086627
33,33,0,33.489501122984436,2.934698234798786,65.46563592495484,42.37573800961291,9.337378019928401
34,34,0,32.1951207196821,2.5382142568162154,67.10241178605908,41.4460774362107,8.37517792151493
35,35,0,34.100553388429596,2.4195549997710057,66.54953002253919,40.87268354194441,9.923928384575769
36,36,0,23.77291846592258,2.7862795317009232,63.692684608043486,45.778716379345646,10.166259836059428
37,37,0,35.485930617264685,2.6104967609194003,66.72446189275558,48.48695713535408,9.47369598637779
38,38,0,29.705063977482727,2.1303984709002055,63.56538761582725,43.124598466892294,11.293517750322195
39,39,0,27.737453000732103,3.2982449373549496,67.90541838157988,45.889703076862276,11.554886177552147
40,40,0,33.72923243387184,2.850700743317384,65.4752053292199,45.096186313518224,9.2147392373295
41,41,0,35.15532232344887,2.325337262462989,64.81890233056048,42.12922457315398,11.562943733010174
42,42,0,31.870328635017763,2.8965678001834574,65.97196958032498,49.84903587431217,9.489680780857878
